head,relation,tail
P0040,belongs_to_category,C156
P0041,belongs_to_brand,B122
P0041,belongs_to_category,C001
P0042,belongs_to_brand,B015
P0042,belongs_to_category,C143
P0043,belongs_to_brand,B267
P0043,belongs_to_category,C105
P0044,belongs_to_brand,B009
P0044,belongs_to_category,C173
P0045,belongs_to_brand,B253
P0045,belongs_to_category,C136
P0046,belongs_to_brand,B240
P0046,belongs_to_category,C000
P0047,belongs_to_brand,B097
P0047,belongs_to_category,C027
P0048,belongs_to_brand,B088
P0048,belongs_to_category,C153
P0049,belongs_to_brand,B244
P0049,belongs_to_category,C115
P0050,belongs_to_brand,B201
P0050,belongs_to_category,C197
P0051,belongs_to_brand,B245
P0051,belongs_to_category,C023
P0052,belongs_to_brand,B265
P0052,belongs_to_category,C017
P0053,belongs_to_brand,B208
P0053,belongs_to_category,C104
P0054,belongs_to_brand,B270
P0054,belongs_to_category,C188
P0055,belongs_to_brand,B119
P0055,belongs_to_category,C103
P0056,belongs_to_brand,B287
P0056,belongs_to_category,C195
P0057,belongs_to_brand,B061
P0057,belongs_to_category,C136
P0058,belongs_to_brand,B072
P0058,belongs_to_category,C050
P0059,belongs_to_brand,B155
P0059,belongs_to_category,C033
P0060,belongs_to_brand,B013
P0060,belongs_to_category,C077
P0061,belongs_to_brand,B203
P0061,belongs_to_category,C103
P0062,belongs_to_brand,B249
P0062,belongs_to_category,C145
P0063,belongs_to_brand,B160
P0063,belongs_to_category,C199
P0064,belongs_to_brand,B137
P0064,belongs_to_category,C076
P0065,belongs_to_brand,B288
P0065,belongs_to_category,C065
P0066,belongs_to_brand,B052
P0066,belongs_to_category,C073
P0067,belongs_to_brand,B238
P0067,belongs_to_category,C167
P0068,belongs_to_brand,B276
P0068,belongs_to_category,C012
P0069,belongs_to_brand,B090
P0069,belongs_to_category,C019
P0070,belongs_to_brand,B259
P0070,belongs_to_category,C065
P0071,belongs_to_brand,B083
P0071,belongs_to_category,C006
P0072,belongs_to_brand,B126
P0072,belongs_to_category,C090
P0073,belongs_to_brand,B013
P0073,belongs_to_category,C082
P0074,belongs_to_brand,B268
P0074,belongs_to_category,C102
P0075,belongs_to_brand,B020
P0075,belongs_to_category,C153
P0076,belongs_to_brand,B086
P0076,belongs_to_category,C153
P0077,belongs_to_brand,B045
P0077,belongs_to_category,C048
P0078,belongs_to_brand,B153
P0078,belongs_to_category,C034
P0079,belongs_to_brand,B160
P0079,belongs_to_category,C031
P0080,belongs_to_brand,B263
P0080,belongs_to_category,C083
P0081,belongs_to_brand,B074
P0081,belongs_to_category,C177
P0082,belongs_to_brand,B213
P0082,belongs_to_category,C132
P0083,belongs_to_brand,B089
P0083,belongs_to_category,C166
P0084,belongs_to_brand,B292
P0084,belongs_to_category,C186
P0085,belongs_to_brand,B115
P0085,belongs_to_category,C061
P0086,belongs_to_brand,B159
P0086,belongs_to_category,C111
P0087,belongs_to_brand,B282
P0087,belongs_to_category,C023
P0088,belongs_to_brand,B229
P0088,belongs_to_category,C082
P0089,belongs_to_brand,B212
P0089,belongs_to_category,C021
P0090,belongs_to_brand,B186
P0090,belongs_to_category,C147
P0091,belongs_to_brand,B033
P0091,belongs_to_category,C072
P0092,belongs_to_brand,B273
P0092,belongs_to_category,C019
P0093,belongs_to_brand,B249
P0093,belongs_to_category,C162
P0094,belongs_to_brand,B208
P0094,belongs_to_category,C163
P0095,belongs_to_brand,B130
P0095,belongs_to_category,C054
P0096,belongs_to_brand,B185
P0096,belongs_to_category,C094
P0097,belongs_to_brand,B032
P0097,belongs_to_category,C191
P0098,belongs_to_brand,B277
P0098,belongs_to_category,C056
P0099,belongs_to_brand,B088
P0099,belongs_to_category,C116
P0100,belongs_to_brand,B026
P0100,belongs_to_category,C077
P0101,belongs_to_brand,B261
P0101,belongs_to_category,C180
P0102,belongs_to_brand,B107
P0102,belongs_to_category,C076
P0103,belongs_to_brand,B173
P0103,belongs_to_category,C054
P0104,belongs_to_brand,B175
P0104,belongs_to_category,C046
P0105,belongs_to_brand,B272
P0105,belongs_to_category,C032
P0106,belongs_to_brand,B001
P0106,belongs_to_category,C191
P0107,belongs_to_brand,B127
P0107,belongs_to_category,C194
P0108,belongs_to_brand,B232
P0108,belongs_to_category,C182
P0109,belongs_to_brand,B125
P0109,belongs_to_category,C018
P0110,belongs_to_brand,B022
P0110,belongs_to_category,C198
P0111,belongs_to_brand,B045
P0111,belongs_to_category,C158
P0112,belongs_to_brand,B191
P0112,belongs_to_category,C004
P0113,belongs_to_brand,B133
P0113,belongs_to_category,C171
P0114,belongs_to_brand,B161
P0114,belongs_to_category,C171
P0115,belongs_to_brand,B179
P0115,belongs_to_category,C106
P0116,belongs_to_brand,B205
P0116,belongs_to_category,C015
P0117,belongs_to_brand,B220
P0117,belongs_to_category,C169
P0118,belongs_to_brand,B178
P0118,belongs_to_category,C159
P0119,belongs_to_brand,B225
P0119,belongs_to_category,C055
P0120,belongs_to_brand,B000
P0120,belongs_to_category,C061
P0121,belongs_to_brand,B273
P0121,belongs_to_category,C080
P0122,belongs_to_brand,B116
P0122,belongs_to_category,C079
P0123,belongs_to_brand,B065
P0123,belongs_to_category,C069
P0124,belongs_to_brand,B164
P0124,belongs_to_category,C176
P0125,belongs_to_brand,B299
P0125,belongs_to_category,C015
P0126,belongs_to_brand,B294
P0126,belongs_to_category,C027
P0127,belongs_to_brand,B286
P0127,belongs_to_category,C120
P0128,belongs_to_brand,B175
P0128,belongs_to_category,C003
P0129,belongs_to_brand,B013
P0129,belongs_to_category,C148
P0130,belongs_to_brand,B139
P0130,belongs_to_category,C061
P0131,belongs_to_brand,B081
P0131,belongs_to_category,C047
P0132,belongs_to_brand,B169
P0132,belongs_to_category,C006
P0133,belongs_to_brand,B188
P0133,belongs_to_category,C196
P0134,belongs_to_brand,B195
P0134,belongs_to_category,C185
P0135,belongs_to_brand,B154
P0135,belongs_to_category,C129
P0136,belongs_to_brand,B196
P0136,belongs_to_category,C095
P0137,belongs_to_brand,B226
P0137,belongs_to_category,C187
P0138,belongs_to_brand,B124
P0138,belongs_to_category,C058
P0139,belongs_to_brand,B036
P0139,belongs_to_category,C053
P0140,belongs_to_brand,B276
P0140,belongs_to_category,C020
P0141,belongs_to_brand,B227
P0141,belongs_to_category,C195
P0142,belongs_to_brand,B095
P0142,belongs_to_category,C135
P0143,belongs_to_brand,B289
P0143,belongs_to_category,C173
P0144,belongs_to_brand,B260
P0144,belongs_to_category,C046
P0145,belongs_to_brand,B101
P0145,belongs_to_category,C132
P0146,belongs_to_brand,B287
P0146,belongs_to_category,C143
P0147,belongs_to_brand,B267
P0147,belongs_to_category,C161
P0148,belongs_to_brand,B009
P0148,belongs_to_category,C193
P0149,belongs_to_brand,B149
P0149,belongs_to_category,C192
P0150,belongs_to_brand,B163
P0150,belongs_to_category,C040
P0151,belongs_to_brand,B239
P0151,belongs_to_category,C163
P0152,belongs_to_brand,B229
P0152,belongs_to_category,C040
P0153,belongs_to_brand,B266
P0153,belongs_to_category,C091
P0154,belongs_to_brand,B296
P0154,belongs_to_category,C013
P0155,belongs_to_brand,B067
P0155,belongs_to_category,C170
P0156,belongs_to_brand,B064
P0156,belongs_to_category,C087
P0157,belongs_to_brand,B299
P0157,belongs_to_category,C102
P0158,belongs_to_brand,B106
P0158,belongs_to_category,C073
P0159,belongs_to_brand,B204
P0159,belongs_to_category,C161
P0160,belongs_to_brand,B128
P0160,belongs_to_category,C136
P0161,belongs_to_brand,B085
P0161,belongs_to_category,C048
P0162,belongs_to_brand,B130
P0162,belongs_to_category,C076
P0163,belongs_to_brand,B244
P0163,belongs_to_category,C003
P0164,belongs_to_brand,B247
P0164,belongs_to_category,C146
P0165,belongs_to_brand,B034
P0165,belongs_to_category,C030
P0166,belongs_to_brand,B100
P0166,belongs_to_category,C193
P0167,belongs_to_brand,B092
P0167,belongs_to_category,C125
P0168,belongs_to_brand,B202
P0168,belongs_to_category,C188
P0169,belongs_to_brand,B221
P0169,belongs_to_category,C032
P0170,belongs_to_brand,B215
P0170,belongs_to_category,C106
P0171,belongs_to_brand,B014
P0171,belongs_to_category,C016
P0172,belongs_to_brand,B093
P0172,belongs_to_category,C088
P0173,belongs_to_brand,B187
P0173,belongs_to_category,C107
P0174,belongs_to_brand,B126
P0174,belongs_to_category,C139
P0175,belongs_to_brand,B002
P0175,belongs_to_category,C002
P0176,belongs_to_brand,B268
P0176,belongs_to_category,C020
P0177,belongs_to_brand,B169
P0177,belongs_to_category,C023
P0178,belongs_to_brand,B252
P0178,belongs_to_category,C015
P0179,belongs_to_brand,B196
P0179,belongs_to_category,C189
P0180,belongs_to_brand,B137
P0180,belongs_to_category,C182
P0181,belongs_to_brand,B193
P0181,belongs_to_category,C140
P0182,belongs_to_brand,B284
P0182,belongs_to_category,C037
P0183,belongs_to_brand,B203
P0183,belongs_to_category,C024
P0184,belongs_to_brand,B066
P0184,belongs_to_category,C054
P0185,belongs_to_brand,B129
P0185,belongs_to_category,C097
P0186,belongs_to_brand,B019
P0186,belongs_to_category,C029
P0187,belongs_to_brand,B031
P0187,belongs_to_category,C100
P0188,belongs_to_brand,B121
P0188,belongs_to_category,C164
P0189,belongs_to_brand,B272
P0189,belongs_to_category,C135
P0190,belongs_to_brand,B130
P0190,belongs_to_category,C018
P0191,belongs_to_brand,B030
P0191,belongs_to_category,C010
P0192,belongs_to_brand,B013
P0192,belongs_to_category,C155
P0193,belongs_to_brand,B272
P0193,belongs_to_category,C120
P0194,belongs_to_brand,B053
P0194,belongs_to_category,C185
P0195,belongs_to_brand,B031
P0195,belongs_to_category,C116
P0196,belongs_to_brand,B200
P0196,belongs_to_category,C196
P0197,belongs_to_brand,B219
P0197,belongs_to_category,C163
P0198,belongs_to_brand,B189
P0198,belongs_to_category,C138
P0199,belongs_to_brand,B010
P0199,belongs_to_category,C115
P0200,belongs_to_brand,B236
P0200,belongs_to_category,C102
P0201,belongs_to_brand,B143
P0201,belongs_to_category,C162
P0202,belongs_to_brand,B042
P0202,belongs_to_category,C154
P0203,belongs_to_brand,B298
P0203,belongs_to_category,C149
P0204,belongs_to_brand,B247
P0204,belongs_to_category,C190
P0205,belongs_to_brand,B205
P0205,belongs_to_category,C138
P0206,belongs_to_brand,B022
P0206,belongs_to_category,C055
P0207,belongs_to_brand,B161
P0207,belongs_to_category,C073
P0208,belongs_to_brand,B135
P0208,belongs_to_category,C049
P0209,belongs_to_brand,B135
P0209,belongs_to_category,C006
P0210,belongs_to_brand,B237
P0210,belongs_to_category,C006
P0211,belongs_to_brand,B012
P0211,belongs_to_category,C000
P0212,belongs_to_brand,B239
P0212,belongs_to_category,C196
P0213,belongs_to_brand,B228
P0213,belongs_to_category,C067
P0214,belongs_to_brand,B222
P0214,belongs_to_category,C181
P0215,belongs_to_brand,B045
P0215,belongs_to_category,C182
P0216,belongs_to_brand,B071
P0216,belongs_to_category,C135
P0217,belongs_to_brand,B241
P0217,belongs_to_category,C026
P0218,belongs_to_brand,B103
P0218,belongs_to_category,C162
P0219,belongs_to_brand,B259
P0219,belongs_to_category,C089
P0220,belongs_to_brand,B089
P0220,belongs_to_category,C121
P0221,belongs_to_brand,B127
P0221,belongs_to_category,C175
P0222,belongs_to_brand,B027
P0222,belongs_to_category,C139
P0223,belongs_to_brand,B006
P0223,belongs_to_category,C141
P0224,belongs_to_brand,B040
P0224,belongs_to_category,C177
P0225,belongs_to_brand,B188
P0225,belongs_to_category,C197
P0226,belongs_to_brand,B155
P0226,belongs_to_category,C077
P0227,belongs_to_brand,B203
P0227,belongs_to_category,C015
P0228,belongs_to_brand,B064
P0228,belongs_to_category,C123
P0229,belongs_to_brand,B227
P0229,belongs_to_category,C034
P0230,belongs_to_brand,B054
P0230,belongs_to_category,C132
P0231,belongs_to_brand,B232
P0231,belongs_to_category,C168
P0232,belongs_to_brand,B188
P0232,belongs_to_category,C059
P0233,belongs_to_brand,B077
P0233,belongs_to_category,C085
P0234,belongs_to_brand,B231
P0234,belongs_to_category,C051
P0235,belongs_to_brand,B231
P0235,belongs_to_category,C003
P0236,belongs_to_brand,B273
P0236,belongs_to_category,C101
P0237,belongs_to_brand,B214
P0237,belongs_to_category,C070
P0238,belongs_to_brand,B148
P0238,belongs_to_category,C025
P0239,belongs_to_brand,B159
P0239,belongs_to_category,C089
P0240,belongs_to_brand,B238
P0240,belongs_to_category,C049
P0241,belongs_to_brand,B088
P0241,belongs_to_category,C087
P0242,belongs_to_brand,B194
P0242,belongs_to_category,C113
P0243,belongs_to_brand,B246
P0243,belongs_to_category,C183
P0244,belongs_to_brand,B293
P0244,belongs_to_category,C174
P0245,belongs_to_brand,B197
P0245,belongs_to_category,C099
P0246,belongs_to_brand,B082
P0246,belongs_to_category,C185
P0247,belongs_to_brand,B245
P0247,belongs_to_category,C168
P0248,belongs_to_brand,B135
P0248,belongs_to_category,C025
P0249,belongs_to_brand,B180
P0249,belongs_to_category,C157
P0250,belongs_to_brand,B225
P0250,belongs_to_category,C173
P0251,belongs_to_brand,B049
P0251,belongs_to_category,C089
P0252,belongs_to_brand,B113
P0252,belongs_to_category,C186
P0253,belongs_to_brand,B157
P0253,belongs_to_category,C014
P0254,belongs_to_brand,B172
P0254,belongs_to_category,C038
P0255,belongs_to_brand,B046
P0255,belongs_to_category,C019
P0256,belongs_to_brand,B117
P0256,belongs_to_category,C175
P0257,belongs_to_brand,B201
P0257,belongs_to_category,C023
P0258,belongs_to_brand,B094
P0258,belongs_to_category,C111
P0259,belongs_to_brand,B209
P0259,belongs_to_category,C082
P0260,belongs_to_brand,B098
P0260,belongs_to_category,C169
P0261,belongs_to_brand,B042
P0261,belongs_to_category,C089
P0262,belongs_to_brand,B102
P0262,belongs_to_category,C067
P0263,belongs_to_brand,B127
P0263,belongs_to_category,C104
P0264,belongs_to_brand,B031
P0264,belongs_to_category,C135
P0265,belongs_to_brand,B127
P0265,belongs_to_category,C113
P0266,belongs_to_brand,B150
P0266,belongs_to_category,C037
P0267,belongs_to_brand,B217
P0267,belongs_to_category,C024
P0268,belongs_to_brand,B048
P0268,belongs_to_category,C036
P0269,belongs_to_brand,B148
P0269,belongs_to_category,C190
P0270,belongs_to_brand,B208
P0270,belongs_to_category,C158
P0271,belongs_to_brand,B066
P0271,belongs_to_category,C077
P0272,belongs_to_brand,B200
P0272,belongs_to_category,C035
P0273,belongs_to_brand,B154
P0273,belongs_to_category,C186
P0274,belongs_to_brand,B088
P0274,belongs_to_category,C006
P0275,belongs_to_brand,B215
P0275,belongs_to_category,C026
P0276,belongs_to_brand,B020
P0276,belongs_to_category,C143
P0277,belongs_to_brand,B135
P0277,belongs_to_category,C089
P0278,belongs_to_brand,B071
P0278,belongs_to_category,C096
P0279,belongs_to_brand,B114
P0279,belongs_to_category,C052
P0280,belongs_to_brand,B266
P0280,belongs_to_category,C086
P0281,belongs_to_brand,B286
P0281,belongs_to_category,C171
P0282,belongs_to_brand,B114
P0282,belongs_to_category,C103
P0283,belongs_to_brand,B053
P0283,belongs_to_category,C065
P0284,belongs_to_brand,B129
P0284,belongs_to_category,C190
P0285,belongs_to_brand,B174
P0285,belongs_to_category,C108
P0286,belongs_to_brand,B066
P0286,belongs_to_category,C196
P0287,belongs_to_brand,B205
P0287,belongs_to_category,C156
P0288,belongs_to_brand,B058
P0288,belongs_to_category,C195
P0289,belongs_to_brand,B244
P0289,belongs_to_category,C017
P0290,belongs_to_brand,B053
P0290,belongs_to_category,C118
P0291,belongs_to_brand,B073
P0291,belongs_to_category,C176
P0292,belongs_to_brand,B133
P0292,belongs_to_category,C083
P0293,belongs_to_brand,B167
P0293,belongs_to_category,C007
P0294,belongs_to_brand,B225
P0294,belongs_to_category,C090
P0295,belongs_to_brand,B269
P0295,belongs_to_category,C181
P0296,belongs_to_brand,B214
P0296,belongs_to_category,C106
P0297,belongs_to_brand,B152
P0297,belongs_to_category,C132
P0298,belongs_to_brand,B127
P0298,belongs_to_category,C139
P0299,belongs_to_brand,B223
P0299,belongs_to_category,C116
P0300,belongs_to_brand,B120
P0300,belongs_to_category,C137
P0301,belongs_to_brand,B146
P0301,belongs_to_category,C155
P0302,belongs_to_brand,B065
P0302,belongs_to_category,C163
P0303,belongs_to_brand,B146
P0303,belongs_to_category,C032
P0304,belongs_to_brand,B007
P0304,belongs_to_category,C099
P0305,belongs_to_brand,B127
P0305,belongs_to_category,C093
P0306,belongs_to_brand,B217
P0306,belongs_to_category,C124
P0307,belongs_to_brand,B208
P0307,belongs_to_category,C079
P0308,belongs_to_brand,B052
P0308,belongs_to_category,C025
P0309,belongs_to_brand,B051
P0309,belongs_to_category,C008
P0310,belongs_to_brand,B290
P0310,belongs_to_category,C056
P0311,belongs_to_brand,B086
P0311,belongs_to_category,C161
P0312,belongs_to_brand,B266
P0312,belongs_to_category,C080
P0313,belongs_to_brand,B004
P0313,belongs_to_category,C143
P0314,belongs_to_brand,B234
P0314,belongs_to_category,C034
P0315,belongs_to_brand,B226
P0315,belongs_to_category,C034
P0316,belongs_to_brand,B197
P0316,belongs_to_category,C082
P0317,belongs_to_brand,B002
P0317,belongs_to_category,C049
P0318,belongs_to_brand,B230
P0318,belongs_to_category,C174
P0319,belongs_to_brand,B291
P0319,belongs_to_category,C124
P0320,belongs_to_brand,B001
P0320,belongs_to_category,C134
P0321,belongs_to_brand,B275
P0321,belongs_to_category,C007
P0322,belongs_to_brand,B289
P0322,belongs_to_category,C042
P0323,belongs_to_brand,B133
P0323,belongs_to_category,C103
P0324,belongs_to_brand,B199
P0324,belongs_to_category,C154
P0325,belongs_to_brand,B079
P0325,belongs_to_category,C008
P0326,belongs_to_brand,B215
P0326,belongs_to_category,C118
P0327,belongs_to_brand,B212
P0327,belongs_to_category,C032
P0328,belongs_to_brand,B231
P0328,belongs_to_category,C142
P0329,belongs_to_brand,B121
P0329,belongs_to_category,C043
P0330,belongs_to_brand,B214
P0330,belongs_to_category,C081
P0331,belongs_to_brand,B006
P0331,belongs_to_category,C011
P0332,belongs_to_brand,B296
P0332,belongs_to_category,C093
P0333,belongs_to_brand,B061
P0333,belongs_to_category,C171
P0334,belongs_to_brand,B126
P0334,belongs_to_category,C001
P0335,belongs_to_brand,B099
P0335,belongs_to_category,C085
P0336,belongs_to_brand,B203
P0336,belongs_to_category,C139
P0337,belongs_to_brand,B082
P0337,belongs_to_category,C161
P0338,belongs_to_brand,B097
P0338,belongs_to_category,C013
P0339,belongs_to_brand,B031
P0339,belongs_to_category,C018
P0340,belongs_to_brand,B217
P0340,belongs_to_category,C195
P0341,belongs_to_brand,B104
P0341,belongs_to_category,C042
P0342,belongs_to_brand,B200
P0342,belongs_to_category,C096
P0343,belongs_to_brand,B137
P0343,belongs_to_category,C093
P0344,belongs_to_brand,B034
P0344,belongs_to_category,C178
P0345,belongs_to_brand,B001
P0345,belongs_to_category,C114
P0346,belongs_to_brand,B068
P0346,belongs_to_category,C116
P0347,belongs_to_brand,B157
P0347,belongs_to_category,C177
P0348,belongs_to_brand,B286
P0348,belongs_to_category,C169
P0349,belongs_to_brand,B275
P0349,belongs_to_category,C085
P0350,belongs_to_brand,B298
P0350,belongs_to_category,C078
P0351,belongs_to_brand,B286
P0351,belongs_to_category,C051
P0352,belongs_to_brand,B137
P0352,belongs_to_category,C165
P0353,belongs_to_brand,B045
P0353,belongs_to_category,C089
P0354,belongs_to_brand,B117
P0354,belongs_to_category,C197
P0355,belongs_to_brand,B268
P0355,belongs_to_category,C092
P0356,belongs_to_brand,B076
P0356,belongs_to_category,C116
P0357,belongs_to_brand,B204
P0357,belongs_to_category,C067
P0358,belongs_to_brand,B264
P0358,belongs_to_category,C165
P0359,belongs_to_brand,B041
P0359,belongs_to_category,C111
P0360,belongs_to_brand,B164
P0360,belongs_to_category,C089
P0361,belongs_to_brand,B106
P0361,belongs_to_category,C093
P0362,belongs_to_brand,B209
P0362,belongs_to_category,C150
P0363,belongs_to_brand,B299
P0363,belongs_to_category,C184
P0364,belongs_to_brand,B152
P0364,belongs_to_category,C173
P0365,belongs_to_brand,B289
P0365,belongs_to_category,C119
P0366,belongs_to_brand,B021
P0366,belongs_to_category,C166
P0367,belongs_to_brand,B260
P0367,belongs_to_category,C152
P0368,belongs_to_brand,B168
P0368,belongs_to_category,C070
P0369,belongs_to_brand,B041
P0369,belongs_to_category,C138
P0370,belongs_to_brand,B061
P0370,belongs_to_category,C143
P0371,belongs_to_brand,B143
P0371,belongs_to_category,C131
P0372,belongs_to_brand,B247
P0372,belongs_to_category,C137
P0373,belongs_to_brand,B022
P0373,belongs_to_category,C010
P0374,belongs_to_brand,B094
P0374,belongs_to_category,C107
P0375,belongs_to_brand,B276
P0375,belongs_to_category,C088
P0376,belongs_to_brand,B094
P0376,belongs_to_category,C126
P0377,belongs_to_brand,B011
P0377,belongs_to_category,C142
P0378,belongs_to_brand,B041
P0378,belongs_to_category,C005
P0379,belongs_to_brand,B107
P0379,belongs_to_category,C073
P0380,belongs_to_brand,B164
P0380,belongs_to_category,C114
P0381,belongs_to_brand,B065
P0381,belongs_to_category,C168
P0382,belongs_to_brand,B191
P0382,belongs_to_category,C178
P0383,belongs_to_brand,B012
P0383,belongs_to_category,C128
P0384,belongs_to_brand,B006
P0384,belongs_to_category,C108
P0385,belongs_to_brand,B287
P0385,belongs_to_category,C086
P0386,belongs_to_brand,B108
P0386,belongs_to_category,C199
P0387,belongs_to_brand,B095
P0387,belongs_to_category,C069
P0388,belongs_to_brand,B019
P0388,belongs_to_category,C123
P0389,belongs_to_brand,B059
P0389,belongs_to_category,C088
P0390,belongs_to_brand,B229
P0390,belongs_to_category,C100
P0391,belongs_to_brand,B137
P0391,belongs_to_category,C177
P0392,belongs_to_brand,B184
P0392,belongs_to_category,C012
P0393,belongs_to_brand,B248
P0393,belongs_to_category,C176
P0394,belongs_to_brand,B245
P0394,belongs_to_category,C136
P0395,belongs_to_brand,B197
P0395,belongs_to_category,C117
P0396,belongs_to_brand,B272
P0396,belongs_to_category,C175
P0397,belongs_to_brand,B067
P0397,belongs_to_category,C112
P0398,belongs_to_brand,B048
P0398,belongs_to_category,C158
P0399,belongs_to_brand,B213
P0399,belongs_to_category,C009
P0400,belongs_to_brand,B235
P0400,belongs_to_category,C164
P0401,belongs_to_brand,B007
P0401,belongs_to_category,C129
P0402,belongs_to_brand,B068
P0402,belongs_to_category,C198
P0403,belongs_to_brand,B099
P0403,belongs_to_category,C040
P0404,belongs_to_brand,B288
P0404,belongs_to_category,C199
P0405,belongs_to_brand,B127
P0405,belongs_to_category,C116
P0406,belongs_to_brand,B095
P0406,belongs_to_category,C142
P0407,belongs_to_brand,B176
P0407,belongs_to_category,C096
P0408,belongs_to_brand,B182
P0408,belongs_to_category,C186
P0409,belongs_to_brand,B260
P0409,belongs_to_category,C084
P0410,belongs_to_brand,B276
P0410,belongs_to_category,C098
P0411,belongs_to_brand,B218
P0411,belongs_to_category,C185
P0412,belongs_to_brand,B256
P0412,belongs_to_category,C068
P0413,belongs_to_brand,B205
P0413,belongs_to_category,C168
P0414,belongs_to_brand,B114
P0414,belongs_to_category,C028
P0415,belongs_to_brand,B089
P0415,belongs_to_category,C013
P0416,belongs_to_brand,B207
P0416,belongs_to_category,C066
P0417,belongs_to_brand,B127
P0417,belongs_to_category,C087
P0418,belongs_to_brand,B260
P0418,belongs_to_category,C113
P0419,belongs_to_brand,B135
P0419,belongs_to_category,C149
P0420,belongs_to_brand,B233
P0420,belongs_to_category,C073
P0421,belongs_to_brand,B159
P0421,belongs_to_category,C030
P0422,belongs_to_brand,B197
P0422,belongs_to_category,C084
P0423,belongs_to_brand,B020
P0423,belongs_to_category,C123
P0424,belongs_to_brand,B054
P0424,belongs_to_category,C166
P0425,belongs_to_brand,B053
P0425,belongs_to_category,C133
P0426,belongs_to_brand,B061
P0426,belongs_to_category,C165
P0427,belongs_to_brand,B178
P0427,belongs_to_category,C093
P0428,belongs_to_brand,B091
P0428,belongs_to_category,C041
P0429,belongs_to_brand,B097
P0429,belongs_to_category,C170
P0430,belongs_to_brand,B039
P0430,belongs_to_category,C073
P0431,belongs_to_brand,B044
P0431,belongs_to_category,C118
P0432,belongs_to_brand,B193
P0432,belongs_to_category,C027
P0433,belongs_to_brand,B099
P0433,belongs_to_category,C075
P0434,belongs_to_brand,B279
P0434,belongs_to_category,C067
P0435,belongs_to_brand,B266
P0435,belongs_to_category,C151
P0436,belongs_to_brand,B050
P0436,belongs_to_category,C112
P0437,belongs_to_brand,B212
P0437,belongs_to_category,C175
P0438,belongs_to_brand,B129
P0438,belongs_to_category,C120
P0439,belongs_to_brand,B156
P0439,belongs_to_category,C162
P0440,belongs_to_brand,B264
P0440,belongs_to_category,C099
P0441,belongs_to_brand,B258
P0441,belongs_to_category,C183
P0442,belongs_to_brand,B046
P0442,belongs_to_category,C100
P0443,belongs_to_brand,B196
P0443,belongs_to_category,C117
P0444,belongs_to_brand,B028
P0444,belongs_to_category,C134
P0445,belongs_to_brand,B041
P0445,belongs_to_category,C048
P0446,belongs_to_brand,B162
P0446,belongs_to_category,C162
P0447,belongs_to_brand,B228
P0447,belongs_to_category,C177
P0448,belongs_to_brand,B014
P0448,belongs_to_category,C163
P0449,belongs_to_brand,B033
P0449,belongs_to_category,C049
P0450,belongs_to_brand,B189
P0450,belongs_to_category,C005
